P4,STF,P4-Spectec,Petr4,HOL4P4
action_call_ebpf.p4,action_call_ebpf.stf,PASS,PASS,PASS
action_call_table_ebpf.p4,action_call_table_ebpf.stf,PASS,FAIL,FAIL
advance_ebpf.p4,advance_ebpf.stf,PASS,PASS,PASS
count_ebpf.p4,count_ebpf.stf,PASS,PASS,PASS
ebpf_checksum_extern.p4,ebpf_checksum_extern.stf,EXCLUDE,EXCLUDE,EXCLUDE
ebpf_conntrack_extern.p4,ebpf_conntrack_extern.stf,EXCLUDE,EXCLUDE,EXCLUDE
hit_ebpf.p4,hit_ebpf.stf,PASS,FAIL,FAIL
issue870_ebpf.p4,issue870_ebpf.stf,PASS,FAIL,FAIL
key_ebpf.p4,key_ebpf.stf,PASS,FAIL,FAIL
key-issue-1020_ebpf.p4,key-issue-1020_ebpf.stf,PASS,FAIL,FAIL
length_ebpf.p4,length_ebpf.stf,PASS,PASS,FAIL
lpm_ebpf.p4,lpm_ebpf.stf,PASS,FAIL,FAIL
switch_ebpf.p4,switch_ebpf.stf,PASS,FAIL,FAIL
test_ebpf.p4,test_ebpf.stf,PASS,FAIL,FAIL
two_ebpf.p4,two_ebpf.stf,PASS,FAIL,FAIL
valid_ebpf.p4,valid_ebpf.stf,PASS,PASS,PASS
verify_ebpf.p4,verify_ebpf.stf,PASS,PASS,FAIL
