P4,P4-SpecTec,Petr4
accept_e.p4,PASS,PASS
action-bind.p4,PASS,PASS
action-bind1.p4,PASS,PASS
action-bind2.p4,PASS,PASS
action-bind3.p4,PASS,PASS
action-named-default-bmv2.p4,PASS,PASS
actions-with-duplicate-control-plane-names1.p4,EXCLUDE,EXCLUDE
annotation.p4,EXCLUDE,EXCLUDE
array4.p4,PASS,PASS
assign.p4,PASS,PASS
binary_e.p4,PASS,PASS
bitExtract_e.p4,PASS,PASS
call-inout-parameter-with-non-lvalue-2.p4,PASS,PASS
call-inout-parameter-with-non-lvalue.p4,PASS,PASS
call-on-constructor-with-different-type-parameter-arity.p4,PASS,PASS
call-on-extern-abstract-method-illformed-after-specialization.p4,PASS,PASS
call-on-extern-function-parameter-type-illformed-after-specialization.p4,PASS,PASS
call-on-extern-method-illformed-after-specialization.p4,PASS,PASS
call-on-extern-method-illformed-after-type-inference.p4,PASS,PASS
call-on-function-illformed-after-specialization.p4,PASS,PASS
call-on-function-with-different-type-parameter-arity.p4,PASS,PASS
call-table.p4,PASS,PASS
call1_e.p4,PASS,PASS
compound-assignment.p4,PASS,PASS
conditional_e.p4,PASS,PASS
const.p4,PASS,PASS
const1_e.p4,PASS,PASS
const_e.p4,PASS,PASS
constructor-parameter-type-illformed-after-specialization.p4,PASS,PASS
constructor-parameter-type-illformed.p4,PASS,PASS
constructor-with-duplicate-parameter-names.p4,PASS,PASS
constructor1_e.p4,PASS,PASS
constructor2_e.p4,PASS,PASS
constructor3_e.p4,PASS,PASS
constructor_e.p4,PASS,PASS
control-inline.p4,PASS,PASS
control-verify.p4,PASS,FAIL
decl-action-parameter-type-illformed.p4,PASS,PASS
decl-constant-type-has-dont-care.p4,PASS,PASS
decl-constant-with-illformed-type-after-specialization.p4,PASS,PASS
decl-control-with-duplicate-parameter-names.p4,PASS,PASS
decl-enum-with-duplicate-fields.p4,PASS,PASS
decl-error-with-duplicate-fields.p4,PASS,PASS
decl-function-parameter-type-illformed.p4,PASS,PASS
decl-function-with-duplicate-type-paramter-names.p4,PASS,PASS
decl-instantiation-init-non-extern.p4,PASS,PASS
decl-matchkind-with-duplicate-fields.p4,PASS,PASS
decl-newtype-of-illformed-type-decl.p4,PASS,FAIL
decl-newtype-of-illformed-type.p4,PASS,FAIL
decl-newtype-of-type-with-dont-care.p4,PASS,PASS
decl-parser-with-accept-state.p4,PASS,PASS
decl-parser-with-duplicate-parameter-names.p4,PASS,PASS
decl-parser-with-duplicate-state-names.p4,PASS,PASS
decl-parsertype-with-duplicate-parameter-names.p4,PASS,PASS
decl-serenum-of-illformed-type.p4,PASS,PASS
decl-serenum-of-type-with-dont-care.p4,PASS,PASS
decl-serenum-of-unsupported-type.p4,PASS,PASS
decl-serenum-with-duplicate-fields.p4,PASS,PASS
decl-serenum-with-non-lctk-field.p4,PASS,PASS
decl-table-with-multiple-keys.p4,PASS,PASS
decl-union-of-unsupported-type.p4,PASS,PASS
decl-union-with-duplicate-fields.p4,PASS,PASS
default-initializer-err.p4,PASS,PASS
default-last-switch.p4,PASS,FAIL
default-param.p4,PASS,PASS
default_action.p4,PASS,PASS
default_action1.p4,PASS,PASS
directionless.p4,PASS,PASS
div.p4,PASS,PASS
div0.p4,PASS,PASS
div1.p4,PASS,FAIL
div3.p4,PASS,FAIL
dup-param.p4,PASS,PASS
dup-param1.p4,PASS,PASS
dup-param2.p4,PASS,PASS
dup-param3.p4,PASS,PASS
dupConst.p4,PASS,PASS
duplicate-label.p4,PASS,PASS
entries-keyless.p4,PASS,PASS
enumCast.p4,PASS,PASS
enumcrash1.p4,PASS,PASS
enumcrash2.p4,PASS,PASS
equality-fail.p4,PASS,PASS
equate-type-control-and-control-with-different-direction.p4,PASS,PASS
equate-type-control-and-control-with-incompatible-type.p4,PASS,PASS
equate-type-control-and-non-object.p4,PASS,PASS
equate-type-control-and-other-object.p4,PASS,PASS
equate-type-dont-care-and-non-dont-care.p4,PASS,PASS
equate-type-enum-and-incompatible-type-2.p4,PASS,PASS
equate-type-enum-and-incompatible-type-3.p4,PASS,PASS
equate-type-enum-and-incompatible-type.p4,PASS,PASS
equate-type-extern-and-extern-with-incompatible-type.p4,PASS,PASS
equate-type-extern-and-non-object.p4,PASS,PASS
equate-type-header-and-header-with-incompatible-type.p4,PASS,PASS
equate-type-header-and-incompatible-type.p4,PASS,PASS
equate-type-list-and-incompatible-type-2.p4,PASS,PASS
equate-type-list-and-incompatible-type.p4,PASS,PASS
equate-type-newtype-and-non-newtype.p4,PASS,PASS
equate-type-package-and-non-object.p4,PASS,PASS
equate-type-package-and-other-object.p4,PASS,PASS
equate-type-package-and-package-with-incompatible-type.p4,PASS,PASS
equate-type-parser-and-non-object.p4,PASS,PASS
equate-type-parser-and-other-object.p4,PASS,PASS
equate-type-parser-and-parser-with-incompatible-type.p4,PASS,PASS
equate-type-serenum-and-incompatible-type.p4,PASS,PASS
equate-type-specialized-and-non-specialized.p4,PASS,PASS
equate-type-stack-and-incompatible-type-2.p4,PASS,PASS
equate-type-stack-and-incompatible-type.p4,PASS,PASS
equate-type-stack-and-stack-with-incompatible-type.p4,PASS,PASS
equate-type-struct-and-non-struct.p4,PASS,PASS
equate-type-struct-and-struct-with-different-name.p4,PASS,FAIL
equate-type-struct-and-struct-with-incompatible-type.p4,PASS,PASS
equate-type-tuple-and-tuple-with-incompatible-type.p4,PASS,PASS
equate-type-union-and-incompatible-type-2.p4,PASS,PASS
equate-type-union-and-incompatible-type.p4,PASS,PASS
equate-type-variable-and-incompatible-type-2.p4,PASS,PASS
equate-type-variable-and-incompatible-type.p4,PASS,PASS
explicit-cast-to-bit-from-int-of-different-width.p4,PASS,PASS
explicit-cast-to-header-from-kvlist-expr-with-field-of-incompatible-type.p4,PASS,PASS
explicit-cast-to-header-from-kvlist-expr-with-unmatched-field.p4,PASS,PASS
explicit-cast-to-header-from-tuple-expr-with-field-of-incompatible-type.p4,PASS,PASS
explicit-cast-to-incompatible-type-from-default-expr.p4,PASS,PASS
explicit-cast-to-incompatible-type-from-int.p4,PASS,PASS
